entry,at,order
"""Lil Stock @ UmDnqTo27H"" shows a 9♣, 5♥.",2021-02-03T04:40:51.749Z,161232725175100
"Undealt cards:  [6♣, K♣, 4♠, 3♥, J♦]",2021-02-03T04:40:49.897Z,161232724990000
"-- ending hand #198 --",2021-02-03T04:40:49.474Z,161232724947402
"""Zirp @ gXHvts2isM"" collected 0.20 from pot",2021-02-03T04:40:49.474Z,161232724947401
"Uncalled bet of 0.15 returned to ""Zirp @ gXHvts2isM""",2021-02-03T04:40:49.474Z,161232724947400
"""Lil Stock @ UmDnqTo27H"" folds",2021-02-03T04:40:48.667Z,161232724866800
"""Zirp @ gXHvts2isM"" raises to 0.25",2021-02-03T04:40:46.478Z,161232724647900
"""Lil Stock @ UmDnqTo27H"" posts a big blind of 0.10",2021-02-03T04:40:42.839Z,161232724284105
"""Zirp @ gXHvts2isM"" posts a small blind of 0.05",2021-02-03T04:40:42.839Z,161232724284104
"Your hand is 9♣, 5♥",2021-02-03T04:40:42.839Z,161232724284103
"Player stacks: #2 ""Zirp @ gXHvts2isM"" (23.36) | #8 ""Lil Stock @ UmDnqTo27H"" (14.48)",2021-02-03T04:40:42.839Z,161232724284101
"-- starting hand #198  (No Limit Texas Hold'em) (dealer: ""Zirp @ gXHvts2isM"") --",2021-02-03T04:40:42.839Z,161232724284100
"-- ending hand #197 --",2021-02-03T04:40:34.803Z,161232723480403
"""Lil Stock @ UmDnqTo27H"" shows a 9♣, A♦.",2021-02-03T04:40:34.803Z,161232723480402
"""Zirp @ gXHvts2isM"" collected 1.20 from pot with A High (combination: A♠, 10♥, 7♣, 6♣, 5♦)",2021-02-03T04:40:34.803Z,161232723480401
"""Zirp @ gXHvts2isM"" shows a 10♥, A♠.",2021-02-03T04:40:34.803Z,161232723480400
"""Zirp @ gXHvts2isM"" calls 0.25",2021-02-03T04:40:33.998Z,161232723399900
"""Lil Stock @ UmDnqTo27H"" bets 0.25",2021-02-03T04:40:32.999Z,161232723300200
"""Zirp @ gXHvts2isM"" checks",2021-02-03T04:40:29.696Z,161232722969700
"River: 2♦, 6♣, 7♣, 5♦ [4♥]",2021-02-03T04:40:27.125Z,161232722712700
"""Lil Stock @ UmDnqTo27H"" checks",2021-02-03T04:40:26.315Z,161232722631600
"""Zirp @ gXHvts2isM"" checks",2021-02-03T04:40:24.561Z,161232722456200
"Turn: 2♦, 6♣, 7♣ [5♦]",2021-02-03T04:40:21.495Z,161232722149600
"""Zirp @ gXHvts2isM"" calls 0.25",2021-02-03T04:40:20.686Z,161232722068700
"""Lil Stock @ UmDnqTo27H"" bets 0.25",2021-02-03T04:40:11.718Z,161232721171900
"""Zirp @ gXHvts2isM"" checks",2021-02-03T04:40:09.197Z,161232720919800
"Flop:  [2♦, 6♣, 7♣]",2021-02-03T04:40:06.464Z,161232720646500
"""Zirp @ gXHvts2isM"" checks",2021-02-03T04:40:05.659Z,161232720565900
"""Lil Stock @ UmDnqTo27H"" calls 0.10",2021-02-03T04:40:03.367Z,161232720336800
"""Zirp @ gXHvts2isM"" posts a big blind of 0.10",2021-02-03T04:40:01.584Z,161232720158905
"""Lil Stock @ UmDnqTo27H"" posts a small blind of 0.05",2021-02-03T04:40:01.584Z,161232720158904
"Your hand is 9♣, A♦",2021-02-03T04:40:01.584Z,161232720158903
"Player stacks: #2 ""Zirp @ gXHvts2isM"" (22.76) | #8 ""Lil Stock @ UmDnqTo27H"" (15.08)",2021-02-03T04:40:01.584Z,161232720158901
"-- starting hand #197  (No Limit Texas Hold'em) (dealer: ""Lil Stock @ UmDnqTo27H"") --",2021-02-03T04:40:01.584Z,161232720158900
"""Zirp @ gXHvts2isM"" shows a J♣, Q♠.",2021-02-03T04:39:57.158Z,161232719715900
"""Lil Stock @ UmDnqTo27H"" shows a 9♥, Q♥.",2021-02-03T04:39:56.134Z,161232719613500
"Undealt cards:  [Q♣, 2♣, 7♣, 8♦, 6♣]",2021-02-03T04:39:51.593Z,161232719159500
"-- ending hand #196 --",2021-02-03T04:39:51.015Z,161232719101602
"""Lil Stock @ UmDnqTo27H"" collected 0.80 from pot",2021-02-03T04:39:51.015Z,161232719101601
"Uncalled bet of 4.10 returned to ""Lil Stock @ UmDnqTo27H""",2021-02-03T04:39:51.015Z,161232719101600
"""Zirp @ gXHvts2isM"" folds",2021-02-03T04:39:50.178Z,161232719017900
"""Lil Stock @ UmDnqTo27H"" raises to 4.50",2021-02-03T04:39:48.000Z,161232718800100
"""Zirp @ gXHvts2isM"" raises to 0.40",2021-02-03T04:39:44.161Z,161232718416200
"""Lil Stock @ UmDnqTo27H"" posts a big blind of 0.10",2021-02-03T04:39:41.511Z,161232718151205
"""Zirp @ gXHvts2isM"" posts a small blind of 0.05",2021-02-03T04:39:41.511Z,161232718151204
"Your hand is 9♥, Q♥",2021-02-03T04:39:41.511Z,161232718151203
"Player stacks: #2 ""Zirp @ gXHvts2isM"" (23.16) | #8 ""Lil Stock @ UmDnqTo27H"" (14.68)",2021-02-03T04:39:41.511Z,161232718151201
"-- starting hand #196  (No Limit Texas Hold'em) (dealer: ""Zirp @ gXHvts2isM"") --",2021-02-03T04:39:41.511Z,161232718151200
"""Lil Stock @ UmDnqTo27H"" shows a 8♠, Q♣.",2021-02-03T04:39:38.760Z,161232717876100
"-- ending hand #195 --",2021-02-03T04:39:36.590Z,161232717659202
