entry,at,order
"""Edongo @ q_oITmKaNu"" shows a 3♦, 4♠.",2021-03-03T02:54:34.054Z,161474007405500
"""Posh DU @ enNhSNJA3H"" shows a 10♣, A♣.",2021-03-03T02:54:33.630Z,161474007363100
"-- ending hand #86 --",2021-03-03T02:54:31.898Z,161474007189902
"""Posh DU @ enNhSNJA3H"" collected 0.60 from pot",2021-03-03T02:54:31.898Z,161474007189901
"Uncalled bet of 0.25 returned to ""Posh DU @ enNhSNJA3H""",2021-03-03T02:54:31.898Z,161474007189900
"""Edongo @ q_oITmKaNu"" folds",2021-03-03T02:54:31.084Z,161474007108500
"""Posh DU @ enNhSNJA3H"" bets 0.25",2021-03-03T02:54:27.651Z,161474006765200
"Flop:  [7♥, 9♠, 10♥]",2021-03-03T02:54:22.591Z,161474006259200
"""Posh DU @ enNhSNJA3H"" calls 0.30",2021-03-03T02:54:21.780Z,161474006178100
"""Edongo @ q_oITmKaNu"" raises to 0.30",2021-03-03T02:54:20.008Z,161474006000900
"""Posh DU @ enNhSNJA3H"" posts a big blind of 0.10",2021-03-03T02:54:11.593Z,161474005159806
"""Edongo @ q_oITmKaNu"" posts a small blind of 0.05",2021-03-03T02:54:11.593Z,161474005159805
"Player stacks: #3 ""Posh DU @ enNhSNJA3H"" (23.80) | #4 ""Edongo @ q_oITmKaNu"" (4.65)",2021-03-03T02:54:11.593Z,161474005159802
"-- starting hand #86  (No Limit Texas Hold'em) (dealer: ""Edongo @ q_oITmKaNu"") --",2021-03-03T02:54:11.593Z,161474005159801
"The player ""Blake @ UmDnqTo27H"" quits the game with a stack of 0.00.",2021-03-03T02:54:11.593Z,161474005159800
"""Edongo @ q_oITmKaNu"" shows a 7♥, 9♠.",2021-03-03T02:53:21.873Z,161474000187400
"-- ending hand #85 --",2021-03-03T02:53:20.184Z,161474000018602
"""Posh DU @ enNhSNJA3H"" collected 5.03 from pot with Three of a Kind, 10's on the second run  (combination: 10♠, 10♦, 10♣, K♠, 6♥)",2021-03-03T02:53:20.184Z,161474000018601
"""Posh DU @ enNhSNJA3H"" collected 5.04 from pot with Three of a Kind, 10's (combination: 10♠, 10♦, 10♥, K♠, J♣)",2021-03-03T02:53:20.184Z,161474000018600
"River (second run): 2♦, 4♠, 10♦, 6♥ [10♣]",2021-03-03T02:53:17.176Z,161473999717900
"Turn (second run): 2♦, 4♠, 10♦ [6♥]",2021-03-03T02:53:14.125Z,161473999412700
"River: 2♦, 4♠, 10♦, 10♥ [J♣]",2021-03-03T02:53:11.106Z,161473999110800
"Turn: 2♦, 4♠, 10♦ [10♥]",2021-03-03T02:53:08.094Z,161473998809500
"""Blake @ UmDnqTo27H"" shows a 5♦, A♦.",2021-03-03T02:53:05.078Z,161473998507901
"""Posh DU @ enNhSNJA3H"" shows a K♠, 10♠.",2021-03-03T02:53:05.078Z,161473998507900
"All players in hand choose to run it twice.",2021-03-03T02:53:04.246Z,161473998424701
"""Posh DU @ enNhSNJA3H"" chooses to  run it twice.",2021-03-03T02:53:04.246Z,161473998424700
"""Blake @ UmDnqTo27H"" chooses to  run it twice.",2021-03-03T02:53:02.105Z,161473998210600
"Remaining players decide whether to run it twice.",2021-03-03T02:53:02.074Z,161473998207501
"""Posh DU @ enNhSNJA3H"" calls 4.06",2021-03-03T02:53:02.074Z,161473998207500
"""Blake @ UmDnqTo27H"" raises to 4.06 and go all in",2021-03-03T02:52:28.525Z,161473994852600
"""Posh DU @ enNhSNJA3H"" raises to 1.75",2021-03-03T02:52:24.526Z,161473994452700
"""Blake @ UmDnqTo27H"" raises to 0.85",2021-03-03T02:52:19.074Z,161473993907500
"""Posh DU @ enNhSNJA3H"" bets 0.40",2021-03-03T02:52:14.919Z,161473993492000
"""Blake @ UmDnqTo27H"" checks",2021-03-03T02:52:11.221Z,161473993122200
"Flop:  [2♦, 4♠, 10♦]",2021-03-03T02:52:06.885Z,161473992688600
"""Posh DU @ enNhSNJA3H"" calls 0.95",2021-03-03T02:52:06.076Z,161473992607700
"""Blake @ UmDnqTo27H"" raises to 0.95",2021-03-03T02:52:03.078Z,161473992307900
"""Edongo @ q_oITmKaNu"" folds",2021-03-03T02:52:00.550Z,161473992055000
"""Posh DU @ enNhSNJA3H"" raises to 0.30",2021-03-03T02:51:57.415Z,161473991741600
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-03-03T02:51:46.029Z,161473990603006
"""Edongo @ q_oITmKaNu"" posts a small blind of 0.05",2021-03-03T02:51:46.029Z,161473990603005
"Your hand is 5♦, A♦",2021-03-03T02:51:46.029Z,161473990603004
"Player stacks: #3 ""Posh DU @ enNhSNJA3H"" (18.74) | #4 ""Edongo @ q_oITmKaNu"" (4.70) | #8 ""Blake @ UmDnqTo27H"" (5.01)",2021-03-03T02:51:46.029Z,161473990603001
"-- starting hand #85  (No Limit Texas Hold'em) (dealer: ""Posh DU @ enNhSNJA3H"") --",2021-03-03T02:51:46.029Z,161473990603000
"""Blake @ UmDnqTo27H"" shows a A♥, 3♠.",2021-03-03T02:51:34.755Z,161473989475600
