entry,at,order
"-- ending hand #205 --",2021-03-10T04:26:52.965Z,161535041296702
"""Blake @ UmDnqTo27H"" collected 11.06 from pot with Two Pair, Q's & J's on the second run  (combination: Q♠, Q♥, J♠, J♥, 7♣)",2021-03-10T04:26:52.965Z,161535041296701
"""Blake @ UmDnqTo27H"" collected 11.06 from pot with Two Pair, J's & 3's (combination: J♠, J♣, 3♠, 3♦, K♥)",2021-03-10T04:26:52.965Z,161535041296700
"River (second run): J♥, 7♣, Q♥, 2♠ [6♥]",2021-03-10T04:26:49.950Z,161535040995300
"Turn (second run): J♥, 7♣, Q♥ [2♠]",2021-03-10T04:26:46.940Z,161535040694200
"Flop (second run):  [J♥, 7♣, Q♥]",2021-03-10T04:26:43.921Z,161535040392300
"River: J♣, 9♠, 3♠, 3♦ [K♥]",2021-03-10T04:26:40.907Z,161535040090900
"Turn: J♣, 9♠, 3♠ [3♦]",2021-03-10T04:26:37.892Z,161535039789400
"Flop:  [J♣, 9♠, 3♠]",2021-03-10T04:26:34.879Z,161535039487900
"""Blake @ UmDnqTo27H"" shows a Q♠, J♠.",2021-03-10T04:26:31.851Z,161535039185202
"""Mikey @ T48ybw3_W-"" shows a A♥, Q♦.",2021-03-10T04:26:31.851Z,161535039185201
"Uncalled bet of 0.53 returned to ""Blake @ UmDnqTo27H""",2021-03-10T04:26:31.851Z,161535039185200
"All players in hand choose to run it twice.",2021-03-10T04:26:31.040Z,161535039104201
"""Mikey @ T48ybw3_W-"" chooses to  run it twice.",2021-03-10T04:26:31.040Z,161535039104200
"""Blake @ UmDnqTo27H"" chooses to  run it twice.",2021-03-10T04:26:29.286Z,161535038928800
"Remaining players decide whether to run it twice.",2021-03-10T04:26:29.007Z,161535038900801
"""Mikey @ T48ybw3_W-"" calls 11.06 and go all in",2021-03-10T04:26:29.007Z,161535038900800
"""Blake @ UmDnqTo27H"" raises to 11.59 and go all in",2021-03-10T04:26:27.117Z,161535038711800
"""Mikey @ T48ybw3_W-"" raises to 2.00",2021-03-10T04:26:24.371Z,161535038437100
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-03-10T04:26:18.060Z,161535037806305
"""Mikey @ T48ybw3_W-"" posts a small blind of 0.05",2021-03-10T04:26:18.060Z,161535037806304
"Your hand is Q♠, J♠",2021-03-10T04:26:18.060Z,161535037806303
"Player stacks: #7 ""Mikey @ T48ybw3_W-"" (11.06) | #8 ""Blake @ UmDnqTo27H"" (11.59)",2021-03-10T04:26:18.060Z,161535037806301
"-- starting hand #205  (No Limit Texas Hold'em) (dealer: ""Mikey @ T48ybw3_W-"") --",2021-03-10T04:26:18.060Z,161535037806300
"""Blake @ UmDnqTo27H"" shows a 8♣, J♥.",2021-03-10T04:26:16.848Z,161535037684900
"Undealt cards:  [K♥, 7♣, 4♥, 6♦, 2♦]",2021-03-10T04:26:15.660Z,161535037566100
"""Mikey @ T48ybw3_W-"" shows a J♦, 5♣.",2021-03-10T04:26:14.059Z,161535037406000
"-- ending hand #204 --",2021-03-10T04:26:12.882Z,161535037288202
"""Blake @ UmDnqTo27H"" collected 0.20 from pot",2021-03-10T04:26:12.882Z,161535037288201
"Uncalled bet of 1.12 returned to ""Blake @ UmDnqTo27H""",2021-03-10T04:26:12.882Z,161535037288200
"""Mikey @ T48ybw3_W-"" folds",2021-03-10T04:26:12.047Z,161535037204800
"""Blake @ UmDnqTo27H"" raises to 1.22",2021-03-10T04:26:10.930Z,161535037093100
"""Mikey @ T48ybw3_W-"" posts a big blind of 0.10",2021-03-10T04:26:07.400Z,161535036740105
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-03-10T04:26:07.400Z,161535036740104
"Your hand is 8♣, J♥",2021-03-10T04:26:07.400Z,161535036740103
"Player stacks: #7 ""Mikey @ T48ybw3_W-"" (11.16) | #8 ""Blake @ UmDnqTo27H"" (11.49)",2021-03-10T04:26:07.400Z,161535036740101
"-- starting hand #204  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-03-10T04:26:07.400Z,161535036740100
"Undealt cards:  [J♥, 3♥, A♥, 10♦, 5♦]",2021-03-10T04:26:03.582Z,161535036358300
"""Mikey @ T48ybw3_W-"" shows a 4♦, 3♠.",2021-03-10T04:26:03.372Z,161535036337200
"-- ending hand #203 --",2021-03-10T04:26:02.257Z,161535036225802
"""Blake @ UmDnqTo27H"" collected 0.20 from pot",2021-03-10T04:26:02.257Z,161535036225801
"Uncalled bet of 1.30 returned to ""Blake @ UmDnqTo27H""",2021-03-10T04:26:02.257Z,161535036225800
"""Mikey @ T48ybw3_W-"" folds",2021-03-10T04:26:01.449Z,161535036145000
"""Blake @ UmDnqTo27H"" raises to 1.40",2021-03-10T04:26:00.103Z,161535036010300
"""Mikey @ T48ybw3_W-"" calls 0.10",2021-03-10T04:25:56.021Z,161535035602200
"""Blake @ UmDnqTo27H"" posts a big blind of 0.10",2021-03-10T04:25:53.505Z,161535035350605
"""Mikey @ T48ybw3_W-"" posts a small blind of 0.05",2021-03-10T04:25:53.505Z,161535035350604
"Your hand is 9♠, Q♠",2021-03-10T04:25:53.505Z,161535035350603
"Player stacks: #7 ""Mikey @ T48ybw3_W-"" (11.26) | #8 ""Blake @ UmDnqTo27H"" (11.39)",2021-03-10T04:25:53.505Z,161535035350601
"-- starting hand #203  (No Limit Texas Hold'em) (dealer: ""Mikey @ T48ybw3_W-"") --",2021-03-10T04:25:53.505Z,161535035350600
"-- ending hand #202 --",2021-03-10T04:25:50.740Z,161535035074202
"""Mikey @ T48ybw3_W-"" collected 0.20 from pot with Pair, 6's (combination: 6♦, 6♥, A♣, K♠, 7♣)",2021-03-10T04:25:50.740Z,161535035074201
"""Mikey @ T48ybw3_W-"" shows a 4♠, 6♦.",2021-03-10T04:25:50.740Z,161535035074200
"""Blake @ UmDnqTo27H"" checks",2021-03-10T04:25:49.933Z,161535034993400
"""Mikey @ T48ybw3_W-"" checks",2021-03-10T04:25:49.076Z,161535034907700
"River: 6♥, K♠, 7♣, 5♠ [A♣]",2021-03-10T04:25:46.920Z,161535034692100
"""Blake @ UmDnqTo27H"" checks",2021-03-10T04:25:46.112Z,161535034611300
"""Mikey @ T48ybw3_W-"" checks",2021-03-10T04:25:45.266Z,161535034526700
"Turn: 6♥, K♠, 7♣ [5♠]",2021-03-10T04:25:43.132Z,161535034313400
"""Blake @ UmDnqTo27H"" checks",2021-03-10T04:25:42.266Z,161535034226700
"""Mikey @ T48ybw3_W-"" checks",2021-03-10T04:25:41.413Z,161535034141300
"Flop:  [6♥, K♠, 7♣]",2021-03-10T04:25:39.994Z,161535033999500
"""Mikey @ T48ybw3_W-"" checks",2021-03-10T04:25:39.191Z,161535033919100
"""Blake @ UmDnqTo27H"" calls 0.10",2021-03-10T04:25:38.065Z,161535033806600
"""Mikey @ T48ybw3_W-"" posts a big blind of 0.10",2021-03-10T04:25:36.671Z,161535033667205
"""Blake @ UmDnqTo27H"" posts a small blind of 0.05",2021-03-10T04:25:36.671Z,161535033667204
"Your hand is 8♠, 3♥",2021-03-10T04:25:36.671Z,161535033667203
"Player stacks: #7 ""Mikey @ T48ybw3_W-"" (11.16) | #8 ""Blake @ UmDnqTo27H"" (11.49)",2021-03-10T04:25:36.671Z,161535033667201
"-- starting hand #202  (No Limit Texas Hold'em) (dealer: ""Blake @ UmDnqTo27H"") --",2021-03-10T04:25:36.671Z,161535033667200
"""Blake @ UmDnqTo27H"" shows a 9♠, K♣.",2021-03-10T04:25:35.385Z,161535033538600
"""Mikey @ T48ybw3_W-"" shows a J♥, 9♣.",2021-03-10T04:25:35.238Z,161535033523800
"Undealt cards:  [9♦, 5♣, 2♣, A♠, 2♦]",2021-03-10T04:25:33.761Z,161535033376200
"-- ending hand #201 --",2021-03-10T04:25:32.753Z,161535033275402
"""Blake @ UmDnqTo27H"" collected 0.20 from pot",2021-03-10T04:25:32.753Z,161535033275401
"Uncalled bet of 0.97 returned to ""Blake @ UmDnqTo27H""",2021-03-10T04:25:32.753Z,161535033275400
"""Mikey @ T48ybw3_W-"" folds",2021-03-10T04:25:31.946Z,161535033194700
"""Blake @ UmDnqTo27H"" raises to 1.07",2021-03-10T04:25:29.538Z,161535032953900
"""Mikey @ T48ybw3_W-"" calls 0.10",2021-03-10T04:25:26.300Z,161535032630100
